name,paper_author,team_lead,projects,affiliation_2024,sector_2024,github_handle
Connor Rupnow ),0,0,13,University of British Columbia (former,,connorrupnow
Zartashia Afzal,1,0,16,"ICodeGuru, Quaid-i-Azam Campus, Lahore",Industry,zartashiafzal
Qianxiang Ai,1,1,22,"Massachusetts Institute of Technology, Cambridge, United States.",Academia,qai222
Alexander Al-Feghali,1,1,25,"McGill University, Montréal, QC H3A 0G4. Canada.",Academia,alxfgh
Mathieu Alain,1,1,35,"Department of Computer Science, University College London, London WC1E 6BT",Academia,mathieualain
Ricardo Valencia Albornoz,1,1,16,"University of Edinburgh, CH Waddington Building, King's Buildings",Academia,rvalenciaaz
Roozbeh Alishahian,0,1,34,University of Toronto,Academia,
Yannick Calvino Alonso,0,0,15,"Laboratory for Computational Molecular Design, EPFL, Switzerland",,YAY-C
Matias Altamirano,1,0,12,"Department of Statistical Science, University College London, London WC1E 6BT",Academia,maltamiranomontero
Thomas Andrews,1,1,37,"University of Melbourne, CSIRO, Australia.",Academia,TSAndrews
Andy S. Anker,1,1,1;24,"Department of Energy Conversion and Storage, Technical University of Denmark, Denmark.",Academia,
Rija Ansari,1,0,9,"National Research Council of Canada, Ottawa ON, K1A 0R6",Government,rija-ansari
Mehrad Ansari,1,1,14;34,"Acceleration Consortium, University of Toronto, Toronto",Academia,
Samuel Ampofo Appiah,1,0,24,"Ghana National Gas Company, Gas House, Ridge West",Industry,
Arifin,0,1,4,"JSR-ISM Smart Chemistry Lab, JSR Corporation",,
Raul Astudillo,1,0,16,"California Institute of Technology, Pasadena, United States.",Academia,RaulAstudillo06
Mohammad Erfan Toloue Sadegh Azadi,1,0,25,"McGill University, Montréal, QC H3A 0G4. Canada.",Academia,
Ruhana Azam,1,1,33,"Stanford University, Stanford, CA",Academia,
Mohammed Azzouzi,1,0,2,"Imperial College London, South Kensington, London SW7 2AZ",Academia,
Sterling G. Baird,1,0,,"Department of Mechanical Engineering, Brigham Young University, Provo",,
Ben Blaiszik,1,1,43,"University of Chicago, Chicago, United States.",Academia,blaiszik
Anna Borisova,1,1,41,"ETH Zurich, EPFL, Station 06",Academia,AnnaKelmanson
Florian Boser,0,0,15,"University of Münster, Germany",,FlorianBoser
Andres Bran,1,1,41,"ETH Zurich, EPFL, Station 06",Academia,doncamilom
Ksenia Briling,0,0,15,"Laboratory for Computational Molecular Design, EPFL, Switzerland",,briling
Darby Brown,0,1,23,EMD Electronics,Industry,
Suneel Kumar BVS,1,1,17,"Atomicas AI solutions private limited, Hyderabad, India.",Industry,suneelbvs
Pengfei Cai,1,1,27,"Massachusetts Institute of Technology, Cambridge, United States.",Academia,cpfpengfei
Christian Emmanuel Granados Cervantes,0,0,28,Autonomous University of Chihuahua,,Salario-Minimo
Yash Chauhan,0,0,19,National Institute of Science Education and Research,,
Xu Chen,0,1,34,University of Toronto,Academia,
Ting-Yeh Chen,1,0,21,"The Ohio State University, Columbus, United States.",Academia,
Curtis Chong,1,0,17,University of Waterloo,Academia,curtischong
Samantha Corapi,1,0,44,"Department of Chemistry, University of Toronto, Toronto",Academia,samanthacorapi
Mark Croxall,1,1,5,"Department of Chemistry, University of Toronto, Toronto",Academia,
Gbetondji Dovonon,1,0,2,"Department of Computer Science, University College London, London WC1E 6BT",Academia,jean72human
Jose Manuel Napoles Duarte,1,1,28,Autonomous University of Chihuahua,Academia,
Maryam Ebrahimiazar,0,1,34,University of Toronto,Academia,
Gage Erickson,1,0,,"Department of Manufacturing Engineering, Brigham Young University, Provo",,
Andrew Falkowski,1,1,3,"University of Utah, Salt Lake City, United States.",Academia,AndrewFalkowski
Giuseppe Fisicaro,1,0,24,"Institute for Microelectronics and Microsystems (IMM), National Research Council (CNR), Italy.",Academia,
Martin Fitzner,1,0,26,"Merck KGaA, Darmstadt, Germany",Industry,Scienfitz
Quinn Gallagher,1,0,8,"Princeton University, Department of Chemical and Biological Engineering, Princeton",Academia,QGallagher
Sabah Gaznaghi,1,0,16,"University of Queensland, Building 75, Australia.",Academia,sabah-gaznaghi
Jérôme Genzling,1,0,32,"McGill University, Montréal, QC H3A 0G4. Canada.",Academia,
Gabriel L. Graves,0,0,24,Georgia Institute of Technology,,
Christoph Griehl,1,1,22,"Max Planck Institute for Dynamics of Complex Technical Systems, Sandtorstraße 1, Germany.",Academia,dionyce
Ryan-Rhys Griffiths,1,1,35,"FutureHouse, San Francisco, United States.",Industry,Ryan-Rhys
Taicheng Guo,1,1,40,"University of Notre Dame, Notre Dame, United States.",Academia,taichengguo
Kehan Guo,1,0,40,"University of Notre Dame, Notre Dame, United States.",Academia,KehanGuo2
Ankur Gupta,1,0,8,"Lawrence Berkeley National Laboratory, Berkeley",Academia,ankur56
Nipun Gupta,1,0,20,"Acceleration Consortium, University of Toronto, Toronto",Academia,
Mohammad Haddadnia,1,1,45,"University Of Harvard, Harvard University, Massachusetts Hall",Academia,mohaddadnia
Yuyang Han,1,0,30;31,"University of California, Los Angeles, Los Angles",Academia,
Karim Ben Hicham,0,0,23,RWTH Aachen,Academia,
Oliver Hinder,0,0,6,University of Pittsburgh,,
Joscha Hoche,1,1,26,"Merck KGaA, Darmstadt, Germany",Industry,hochej
Alexander V. Hopp,1,0,26,"Merck KGaA, Darmstadt, Germany",Industry,AVHopp
Marko Huang,1,1,38,"Department of Chemistry, University of Toronto, Toronto",Academia,
